policy_number,claim_number,claim_date,notification_date,finish_date,description,country_code,country,amount_cas,amount_wa,cost_ca,cost_wa,amount_reclaimed,total
20785,19315,11-07-2015,21-07-2015,01-09-2015,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,1180.6699999999998,NA,70.99000000000001,NA,1251.66
20786,19316,24-04-2018,25-04-2018,29-09-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1110.09,NA,78.53,NA,-1490.84,-302.22
20786,19317,01-01-2017,09-01-2017,30-01-2017,RUITVERVANGING DOOR CARGLASS,NL,Nederland,604.9499999999999,NA,NA,NA,NA,604.95
20786,19318,02-12-2016,14-12-2016,16-05-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1797.06,NA,528.6,NA,-2824.66,-499
20786,19319,31-05-2015,01-06-2015,18-08-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,342.52,NA,70.99000000000001,NA,-703.38,-289.87
20787,19320,08-09-2017,15-09-2017,26-09-2017,STOND GEPARKEERD,NL,Nederland,NA,NA,NA,NA,NA,0
20787,19321,16-05-2016,24-05-2016,30-05-2016,RUITREPARATIE DOOR AUTOTAALGLAS,NL,Nederland,60.5,NA,NA,NA,NA,60.5
20787,19322,20-02-2016,26-02-2016,22-09-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,732.3399999999999,NA,77.44000000000001,NA,NA,809.78
20787,19323,11-03-2015,12-03-2015,13-03-2017,VERLEENDE GEEN VOORRANG,NL,Nederland,1396.1299999999999,1410.6299999999999,70.99000000000001,NA,NA,2877.75
20788,19324,07-09-2017,07-09-2017,24-10-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,683.06,NA,NA,NA,-654.12,28.94
20788,19325,09-01-2014,14-01-2014,21-02-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,501.17,NA,39.5,NA,NA,540.67
26851,19326,22-01-2019,23-01-2019,18-02-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,78.53,NA,NA,78.53
26851,19327,03-02-2018,05-02-2018,08-05-2018,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,NA,NA,NA,NA,NA,0
26851,19328,01-08-2014,05-09-2014,11-09-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,471.57,NA,1,NA,NA,472.57
26852,19329,08-02-2016,09-02-2016,15-03-2016,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,947.6,1084.27,NA,NA,NA,2031.87
26852,19330,30-05-2014,04-06-2014,21-07-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,463.16,NA,21,NA,-463.16,21
20789,19331,06-07-2017,07-07-2017,08-11-2017,REED ACHTERUIT TEGEN STILSTAAND (ON)VERLICHT MTR,NL,Nederland,3345,3989.17,77.44000000000001,NA,NA,7411.61
26853,19332,29-08-2015,07-09-2015,08-10-2015,REED ACHTERUIT OP RECHTE WEG,NL,Nederland,NA,1000,NA,80.99000000000001,NA,1080.99
20792,19333,04-11-2016,14-11-2016,15-11-2016,GLASSREPAIR,NL,Nederland,133.1,NA,NA,NA,NA,133.1
20792,19334,18-09-2016,22-09-2016,22-02-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20792,19335,14-09-2016,29-09-2016,02-06-2017,ARTIKEL 185 WVW,NL,Nederland,NA,3016.9700000000003,NA,NA,NA,3016.97
26854,19336,10-01-2015,26-01-2015,23-02-2015,STORM,NL,Nederland,2372.9500000000003,NA,40.290000000000006,NA,NA,2413.24
20795,19337,03-11-2018,05-11-2018,04-12-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20796,19338,23-10-2014,23-10-2014,17-11-2014,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,2565,NA,79.6,NA,NA,2644.6
20797,19339,10-07-2018,10-07-2018,24-08-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,495.47999999999996,NA,NA,NA,NA,495.48
20797,19340,04-05-2016,18-05-2016,09-06-2016,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,681.69,NA,NA,NA,681.69
20800,19341,23-09-2019,23-09-2019,NA,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20800,19342,15-06-2018,15-06-2018,18-09-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1127.1499999999999,NA,NA,NA,-1042.62,84.53
26855,19343,13-06-2014,04-07-2014,10-07-2014,RUITREPARATIE DOOR CARGLASS,NL,Nederland,107.58,NA,1,NA,NA,108.58
26856,19344,30-01-2018,30-01-2018,21-01-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,3707.2799999999997,NA,78.53,NA,-3707.2799999999997,78.53
26856,19345,28-10-2017,01-11-2017,22-11-2017,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,1006.73,NA,77.44000000000001,NA,NA,1084.17
20801,19346,08-04-2019,18-04-2019,25-06-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20801,19347,04-01-2017,04-01-2017,17-01-2017,GING PARKEREN (TERZIJDE VAN DE WEG),NL,Nederland,NA,408.15000000000003,NA,32.14,NA,440.29
20801,19348,03-10-2015,05-10-2015,01-03-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,956.11,NA,64,NA,-988.2,31.91
20802,19349,12-06-2018,12-06-2018,26-06-2018,STOND GEPARKEERD,NL,Nederland,1432.2,NA,NA,NA,NA,1432.2
20802,19350,11-10-2016,12-10-2016,26-10-2016,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1221.6899999999998,NA,NA,NA,NA,1221.69
26857,19351,24-03-2015,24-03-2015,29-07-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,916.47,NA,5,NA,-847.72,73.75
20803,19352,02-11-2018,04-12-2018,01-03-2019,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,NA,1625.3,NA,32.54,NA,1657.84
20803,19353,24-10-2017,06-11-2017,10-11-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20804,19354,27-01-2016,28-01-2016,15-06-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,2533.01,556.8299999999999,NA,NA,-2343.03,746.81
20804,19355,20-05-2015,20-05-2015,17-07-2015,SCHADE DOOR SCHUIVENDE/AFVALLENDE LADING,NL,Nederland,NA,NA,NA,NA,NA,0
20804,19356,05-12-2014,08-12-2014,07-04-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,815.92,NA,39.5,NA,-765.3499999999999,90.07
26858,19357,19-07-2014,25-07-2014,30-07-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,343.9,NA,1,NA,NA,344.9
20805,19358,21-12-2016,22-12-2016,03-08-2017,GING PARKEREN (TERZIJDE VAN DE WEG),NL,Nederland,2272.61,496.1,NA,6.109999999999999,NA,2774.82
20808,19359,05-01-2018,09-01-2018,17-04-2018,STOND GEPARKEERD,NL,Nederland,929.75,NA,78.53,NA,NA,1008.28
20808,19360,29-09-2016,11-10-2016,14-10-2016,UIT PARKEERSTAND WEGGEREDEN,NL,Nederland,NA,2585.4300000000003,NA,NA,NA,2585.43
20808,19361,30-03-2016,25-04-2016,02-05-2016,RUITREPARATIE DOOR AUTOTAALGLAS,NL,Nederland,60.5,NA,NA,NA,NA,60.5
26859,19362,11-02-2014,12-02-2014,28-02-2014,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1251.79,NA,39.5,NA,NA,1291.29
20811,19363,14-05-2017,15-05-2017,11-07-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,2747.03,NA,NA,NA,-2541,206.03
26860,19364,28-08-2015,31-08-2015,02-10-2015,RUITREPARATIE DOOR CARGLASS,NL,Nederland,83.99000000000001,NA,1,NA,NA,84.99
20814,19365,12-07-2018,13-07-2018,13-11-2018,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,NA,NA,NA,NA,0
20815,19366,02-04-2016,12-04-2016,24-06-2016,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,601.61,NA,NA,NA,601.61
20815,19367,02-04-2015,18-08-2015,13-01-2016,STOND GEPARKEERD,NL,Nederland,131.2,NA,70.99000000000001,NA,NA,202.19
20817,19368,30-06-2018,12-03-2019,20-03-2019,OVERSTROMING,E,Spanje,NA,NA,NA,NA,NA,0
26861,19369,05-02-2015,23-02-2015,18-05-2015,STAPTE IN/UIT HET VOERTUIG,NL,Nederland,NA,971.8199999999999,NA,NA,NA,971.82
20819,19370,30-06-2015,06-07-2015,19-08-2015,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,1287.62,NA,NA,NA,1287.62
20819,19371,08-05-2015,12-05-2015,29-05-2015,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,456.19,NA,40.290000000000006,NA,NA,496.48
20822,19372,02-12-2016,27-01-2017,27-01-2017,Ruitvervanging door Glasgarage,NL,Nederland,1093.06,NA,NA,NA,NA,1093.06
20823,19373,01-07-2019,02-07-2019,15-08-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20823,19374,15-09-2014,17-09-2014,19-09-2014,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,455.9,NA,NA,NA,NA,455.9
20824,19375,20-09-2018,21-09-2018,13-11-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,2151.1,NA,78.53,NA,-2151.1,78.53
20824,19376,21-07-2015,23-07-2015,12-10-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
26862,19377,27-01-2016,28-01-2016,01-02-2016,RUITREPARATIE DOOR AUTOTAALGLAS,NL,Nederland,60.5,NA,NA,NA,NA,60.5
20825,19378,04-06-2015,18-06-2015,23-07-2015,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1601.99,NA,40.290000000000006,NA,NA,1642.28
20827,19379,25-08-2019,26-08-2019,NA,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,2814.74,NA,NA,NA,NA,2814.74
20827,19380,27-03-2016,29-03-2016,29-07-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,986.03,NA,77.44000000000001,NA,-662.07,401.4
20828,19381,22-01-2014,17-02-2014,13-11-2014,ARTIKEL 185 WVW,NL,Nederland,NA,4590,NA,1058.3,NA,5648.3
20829,19382,01-04-2018,01-05-2018,05-07-2018,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,NA,1945.33,NA,191.63,NA,2136.96
20829,19383,10-07-2016,11-07-2016,28-07-2016,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,1905.5,NA,90.25,NA,1995.75
20830,19384,02-05-2018,03-05-2018,23-05-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,4930.45,NA,78.53,NA,-4930.45,78.53
20830,19385,06-12-2014,08-12-2014,19-02-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,3046.8900000000003,NA,69.6,NA,-3046.8900000000003,69.6
26863,19386,19-05-2015,20-05-2015,25-06-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1029.42,NA,70.99000000000001,NA,-1132.03,-31.62
26864,19387,22-12-2014,23-12-2014,10-08-2015,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,1970.1299999999999,850,39.5,80.22,NA,2939.85
26864,19388,22-08-2014,28-08-2014,03-09-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,134.89000000000001,NA,1,NA,NA,135.89
26865,19389,15-07-2016,22-09-2016,08-12-2016,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,1776.09,NA,79.2,NA,1855.29
26865,19390,15-05-2015,04-06-2015,17-08-2015,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,363,NA,1.87,NA,364.87
20831,19391,29-04-2019,07-05-2019,26-07-2019,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,685,NA,NA,NA,685
20831,19392,14-08-2018,22-08-2018,16-10-2018,STORM,NL,Nederland,470.22999999999996,NA,NA,NA,NA,470.23
20831,19393,14-07-2014,17-07-2014,11-09-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,38.13,NA,39.5,NA,NA,77.63
20832,19394,07-07-2016,07-07-2016,01-09-2016,STOND GEPARKEERD,NL,Nederland,384.16,NA,NA,NA,-355.35,28.81
20832,19395,10-02-2014,10-02-2014,27-02-2014,STOND GEPARKEERD,NL,Nederland,756.48,NA,5,NA,NA,761.48
26866,19396,10-06-2017,12-06-2017,24-06-2017,STOND GEPARKEERD,NL,Nederland,757.7,NA,NA,NA,NA,757.7
20833,19397,26-05-2014,11-06-2014,18-06-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,448.63,NA,1,NA,NA,449.63
20834,19398,12-05-2016,12-05-2016,31-05-2016,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,3285.25,NA,77.44000000000001,NA,NA,3362.69
20835,19399,04-02-2014,04-02-2014,30-04-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1255.82,NA,69.6,NA,-1612.1399999999999,-286.72
20835,19400,04-02-2014,01-07-2014,07-07-2014,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,1115,NA,12.42,NA,1127.42
26867,19401,27-12-2017,11-04-2018,18-04-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,676.65,NA,NA,NA,NA,676.65
26868,19402,19-11-2016,15-12-2016,04-01-2017,STOND GEPARKEERD,NL,Nederland,773.14,NA,NA,NA,NA,773.14
26868,19403,20-10-2016,21-10-2016,24-10-2016,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,524.07,NA,NA,NA,NA,524.07
26868,19404,27-12-2014,02-01-2015,18-02-2015,STOND GEPARKEERD,NL,Nederland,1065.28,NA,40.290000000000006,NA,NA,1105.57
20836,19405,04-04-2017,08-05-2017,23-05-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20836,19406,24-03-2017,27-03-2017,15-05-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1578.58,NA,NA,NA,-1460.1699999999998,118.41
20836,19407,23-12-2015,23-12-2015,20-01-2016,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,1345.36,NA,NA,NA,NA,1345.36
20837,19408,25-03-2019,26-03-2019,09-04-2019,STOND GEPARKEERD,NL,Nederland,258.28999999999996,NA,NA,NA,NA,258.29
26869,19409,21-07-2014,21-07-2014,08-08-2014,STOND GEPARKEERD,NL,Nederland,607.1700000000001,NA,NA,NA,NA,607.17
20838,19410,22-10-2017,20-03-2018,09-05-2018,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,NA,611.76,NA,NA,NA,611.76
20839,19411,03-04-2019,15-04-2019,23-04-2019,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,392.44,NA,NA,NA,NA,392.44
20839,19412,07-03-2015,11-03-2015,30-05-2015,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,705.74,NA,NA,NA,705.74
20842,19413,21-06-2015,25-06-2015,01-07-2015,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,376.26,NA,1,NA,NA,377.26
20843,19414,29-11-2018,03-12-2018,03-04-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,446.66,NA,NA,NA,-206.58,240.08
20843,19415,05-01-2018,22-01-2018,11-02-2018,REED TEGEN STILSTAAND VAST OBJECT,F,Frankrijk,2714.9100000000003,NA,NA,NA,NA,2714.91
20843,19416,29-11-2016,02-12-2016,27-01-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,302.6,NA,NA,NA,-279.89,22.71
20843,19417,29-05-2016,08-06-2016,20-06-2016,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,703.69,NA,NA,NA,NA,703.69
20843,19418,08-04-2016,11-04-2016,08-11-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,2152.73,NA,77.44000000000001,NA,-2524.3900000000003,-294.22
20844,19419,13-07-2016,13-07-2016,26-08-2016,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,2342.8900000000003,NA,NA,NA,NA,2342.89
20845,19420,27-02-2019,15-03-2019,26-03-2019,STOND GEPARKEERD,NL,Nederland,NA,NA,NA,NA,NA,0
20845,19421,04-08-2018,14-08-2018,19-01-2019,UIT PARKEERSTAND WEGGEREDEN,NL,Nederland,NA,NA,NA,NA,NA,0
20845,19422,19-04-2018,30-04-2018,20-06-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,564.7800000000001,NA,78.53,NA,-676.2800000000001,-32.97
20845,19423,23-06-2015,02-07-2015,08-07-2015,RUITVERVANGING DOOR CARGLASS,NL,Nederland,498.4,NA,1,NA,NA,499.4
20846,19424,14-03-2016,15-03-2016,17-03-2016,GLASSREPAIR,NL,Nederland,133.1,NA,NA,NA,NA,133.1
20846,19425,09-02-2014,15-02-2014,19-02-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,250.48000000000002,NA,1,NA,NA,251.48
20848,19426,05-10-2016,28-11-2016,28-11-2016,Ruitvervanging door Glasgarage,NL,Nederland,395.2,NA,NA,NA,NA,395.2
20848,19427,21-05-2015,26-05-2015,03-06-2015,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,178.51,NA,1,NA,NA,179.51
20848,19428,29-10-2014,30-10-2014,11-12-2014,STAPTE IN/UIT HET VOERTUIG,NL,Nederland,NA,NA,NA,NA,NA,0
20848,19429,22-10-2014,03-12-2014,12-01-2015,STAPTE IN/UIT HET VOERTUIG,NL,Nederland,NA,690.91,NA,NA,NA,690.91
20850,19430,03-06-2017,14-06-2017,13-07-2017,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,370.95,NA,NA,NA,NA,370.95
20855,19431,31-10-2017,01-11-2017,19-01-2018,REED ACHTERUIT TEGEN STILSTAAND (ON)VERLICHT MTR,NL,Nederland,NA,851.14,NA,81.88,NA,933.02
20855,19432,07-08-2015,14-08-2015,19-08-2015,Ruitvervanging door Glasgarage,NL,Nederland,114.32,NA,1,NA,NA,115.32
20855,19433,26-01-2015,03-02-2015,10-02-2015,RUITBREUK,NL,Nederland,314.77,NA,NA,NA,NA,314.77
20856,19434,04-10-2014,06-10-2014,08-12-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,3148.08,NA,79.6,NA,-3258.96,-31.28
20856,19435,06-04-2014,07-04-2014,16-04-2014,Ruitvervanging door Glasgarage,NL,Nederland,209.49,NA,1,NA,NA,210.49
20857,19436,15-08-2014,15-08-2014,03-10-2014,"NIET SCHULDSCHADE, VERHAALBAAR",B,Belgie,1830.33,NA,69.6,NA,-1830.33,69.6
20859,19437,24-01-2015,26-01-2015,02-03-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,771.88,NA,40.290000000000006,NA,-713.99,98.18
20860,19438,24-11-2015,24-11-2015,02-12-2015,"(IN)BRAAK, DIEFSTAL, ACCESS, ETC.",NL,Nederland,574.4399999999999,NA,77.44000000000001,NA,NA,651.88
20861,19439,20-07-2015,27-07-2015,05-08-2015,RUITVERVANGING DOOR CARGLASS,NL,Nederland,533.09,NA,1,NA,NA,534.09
20861,19440,03-03-2015,03-03-2015,31-03-2015,GEEN AFSTAND BEWAARD TOT VOORGANGER OP RECHTE WEG,NL,Nederland,3224.8700000000003,390,40.290000000000006,81.88,NA,3737.04
20862,19441,24-06-2016,19-08-2016,15-09-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20865,19442,26-07-2016,27-07-2016,11-08-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,680.4,NA,NA,NA,-629.3599999999999,51.04
20865,19443,22-01-2014,22-01-2014,18-02-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,732.6800000000001,NA,5,NA,-687.2700000000001,50.41
26870,19444,17-11-2016,21-11-2016,22-11-2016,RUITBREUK,NL,Nederland,129,NA,NA,NA,NA,129
20867,19445,07-02-2017,07-03-2017,13-03-2017,RUITVERVANGING DOOR CARGLASS,NL,Nederland,414.54,NA,NA,NA,NA,414.54
20867,19446,13-10-2014,17-10-2014,22-10-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,382.54,NA,1,NA,NA,383.54
26871,19447,15-03-2017,21-03-2017,27-03-2017,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,325.69,NA,NA,NA,NA,325.69
20868,19448,24-09-2018,24-09-2018,29-11-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1416.05,NA,NA,NA,-1309.84,106.21
20868,19449,26-02-2014,26-02-2014,21-03-2014,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20869,19450,31-01-2019,06-02-2019,08-02-2019,GLASSREPAIR,NL,Nederland,130,NA,NA,NA,NA,130
20869,19451,10-09-2018,25-09-2018,18-10-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,325.65000000000003,NA,NA,NA,-358.62,-32.97
20869,19452,12-10-2015,14-10-2015,10-12-2015,REED ACHTERUIT OP RECHTE WEG,NL,Nederland,NA,2006.76,NA,NA,NA,2006.76
20869,19453,06-02-2015,09-02-2015,21-04-2015,REED TEGEN (ON)VERLICHT STILSTAAND OBJECT,NL,Nederland,NA,1090.84,NA,296.05,NA,1386.89
20869,19454,08-05-2014,09-05-2014,19-11-2015,ARTIKEL 185 WVW,NL,Nederland,NA,2958.86,NA,88.03,NA,3046.89
20870,19455,05-07-2019,05-07-2019,NA,REED ACHTERUIT TEGEN STILSTAAND (ON)VERLICHT MTR,NL,Nederland,4481.1900000000005,NA,78.53,NA,NA,4559.72
20870,19456,26-10-2018,26-10-2018,14-05-2019,REED VOORUIT TEGEN STILSTAAND (ON)VERLICHT MTR,NL,Nederland,7310,9865.31,78.53,118.32,NA,17372.16
26872,19457,10-02-2019,11-02-2019,20-03-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,86.19,NA,NA,NA,NA,86.19
26872,19458,11-10-2017,12-10-2017,20-10-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
26873,19459,31-12-2014,16-03-2015,29-04-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1003.1,NA,70.99000000000001,NA,-1105.71,-31.62
20873,19460,25-07-2017,26-07-2017,07-09-2017,STOND GEPARKEERD,NL,Nederland,688.08,NA,NA,NA,NA,688.08
20874,19461,12-10-2014,17-10-2014,22-10-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,525.37,NA,1,NA,NA,526.37
20876,19462,01-04-2019,01-04-2019,11-07-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,4178.9,NA,NA,NA,-3865.4900000000002,313.41
20876,19463,09-05-2018,11-05-2018,10-09-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1703.9,NA,NA,NA,-1576.1,127.8
20876,19464,02-01-2018,06-02-2018,25-03-2018,STOND GEPARKEERD,NL,Nederland,852.4,NA,NA,NA,NA,852.4
20876,19465,22-11-2014,25-11-2014,30-12-2014,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,587.02,977.92,39.5,NA,NA,1604.44
20877,19466,20-04-2018,24-04-2018,31-01-2019,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1749.99,NA,NA,NA,NA,1749.99
20877,19467,20-04-2018,28-05-2018,05-07-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20877,19468,19-12-2017,28-12-2017,21-04-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,2145.9,NA,NA,NA,-1984.95,160.95
20877,19469,01-12-2017,04-12-2017,23-12-2017,REED ACHTERUIT TEGEN STILSTAAND (ON)VERLICHT MTR,NL,Nederland,NA,712.8,NA,NA,NA,712.8
20878,19470,11-06-2018,12-06-2018,10-08-2018,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1340.35,NA,NA,NA,-1239.82,100.53
20878,19471,28-07-2017,01-08-2017,30-09-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,681.31,NA,NA,NA,-630.21,51.1
26874,19472,11-02-2016,12-02-2016,16-03-2016,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,1502.54,NA,77.44000000000001,NA,-1612.07,-32.09
26874,19473,01-05-2015,21-05-2015,30-06-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20880,19474,30-08-2016,05-09-2016,12-09-2016,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,161.59,NA,NA,NA,NA,161.59
20880,19475,10-03-2016,17-03-2016,21-03-2016,RUITVERVANGING DOOR AUTOTAALGLAS,NL,Nederland,414.28,NA,NA,NA,NA,414.28
20880,19476,25-01-2016,25-01-2016,25-04-2016,UIT PARKEERSTAND WEGGEREDEN,NL,Nederland,1693.26,800,NA,113.99000000000001,NA,2607.25
20881,19477,26-07-2017,26-07-2017,27-06-2019,ARTIKEL 185 WVW,NL,Nederland,NA,17464.45,NA,NA,NA,17464.45
20881,19478,26-07-2017,02-08-2017,26-10-2017,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,NA,NA,NA,NA,0
20882,19479,15-01-2018,16-01-2018,07-03-2018,VERLEENDE GEEN VOORRANG,NL,Nederland,1704.45,1687.1699999999998,NA,83.29,NA,3474.91
20883,19480,30-08-2014,22-09-2014,27-11-2014,"SCHULDSCHADE, NIET VERHAALBAAR",NL,Nederland,510.55,NA,39.5,NA,NA,550.05
20883,19481,08-07-2014,08-07-2014,20-08-2014,STOND GEPARKEERD,NL,Nederland,322.21,NA,39.5,NA,NA,361.71
20886,19482,30-06-2018,12-07-2018,16-07-2018,RUITREPARATIE DOOR CARGLASS,NL,Nederland,69.58,NA,NA,NA,NA,69.58
20886,19483,12-01-2015,21-01-2015,08-04-2015,"NIET SCHULDSCHADE, VERHAALBAAR",NL,Nederland,NA,206.72,NA,NA,-206.72,0
20887,19484,20-05-2015,01-06-2015,08-06-2015,RUITBREUK,NL,Nederland,550.3599999999999,NA,NA,NA,NA,550.36
20887,19485,27-04-2014,28-04-2014,06-06-2014,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1084.47,NA,39.5,NA,NA,1123.97
20888,19486,24-09-2016,10-10-2016,22-11-2016,REED TEGEN STILSTAAND VAST OBJECT,NL,Nederland,1348.53,NA,NA,NA,NA,1348.53
20888,19487,05-06-2014,02-07-2014,10-07-2014,RUITVERVANGING DOOR CARGLASS,NL,Nederland,161.35000000000002,NA,1,NA,NA,162.35
